ApplicationType,BusinessType,City,StateCode,ZipCode,Created,Submitted,InReview,Billed,Paid,UnderInspection,Ready,Issued,Printed,DaysInCreatedStatus,DaysInReview,DaysInBilled,DaysInPaid,DaysInUnderInspection,DaysInReady,DaysInIssued,TotalDaysCreationToPrint_Original,PostalCode,TotalDaysCreationToIssuance_Recalc,TotalDaysCreationToIssuance_Ints,Human_Baseline,PostalCodeStratify,Created_DayOfYear,Created_Month,Created_DayOfMonth,Created_DayOfWeek,Created_Year
Certificate Of Use,General Commercial,Miami,FL,33127,2021-04-05,2021-04-05,2021-04-06,2021-04-06,2021-04-09,2021-04-13,2021-04-15,2021-04-15,2021-04-16,1,0,3,4,2,0,1,11,33127,10 days 00:00:00.000000000,10,62,33127,95,4,5,0,2021
Certificate Of Use,General Commercial,Miami,FL,33131,2021-03-31,2021-03-31,2021-05-06,2021-05-06,2021-05-18,2021-05-21,2021-05-21,2021-05-27,2021-05-27,36,0,12,3,0,6,0,57,33131,57 days 00:00:00.000000000,57,62,33131,90,3,31,2,2021
Accessory Of Use,Home Office,Miami,FL,33132,2021-04-02,2021-04-02,2021-04-02,2021-04-02,2021-04-05,2021-04-05,2021-04-05,2021-04-06,2021-04-14,0,0,3,0,0,1,8,12,33132,4 days 00:00:00.000000000,4,28,33132,92,4,2,4,2021
Certificate Of Use,Entertainment Establishment,Miami,FL,33127,2021-04-05,2021-04-05,2021-04-08,2021-04-08,2021-04-09,2021-05-05,2021-05-19,2021-05-19,2021-05-19,3,0,1,26,14,0,0,44,33127,44 days 00:00:00.000000000,44,62,33127,95,4,5,0,2021
Certificate Of Use,Multi Family Housing,Miami,FL,33136,2021-04-02,2021-04-02,2021-05-04,2021-05-04,2021-05-24,2021-05-25,2021-05-25,2021-05-27,2021-05-27,32,0,20,1,0,2,0,55,33136,55 days 00:00:00.000000000,55,156,33136,92,4,2,4,2021
Certificate Of Use,Office,Miami,FL,33134,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-06,2021-05-05,2021-05-05,2021-05-05,2021-05-06,0,0,1,29,0,0,1,31,33134,30 days 00:00:00.000000000,30,62,33134,95,4,5,0,2021
Certificate Of Use,General Commercial,Miami,FL,33145,2021-03-31,2021-03-31,2021-04-13,2021-04-13,2021-04-14,2021-04-14,2021-04-16,2021-04-16,2021-04-16,13,0,1,0,2,0,0,16,33145,16 days 00:00:00.000000000,16,62,33145,90,3,31,2,2021
Accessory Of Use,Home Office,Miami,FL,33136,2021-04-05,2021-04-05,2021-04-06,2021-04-06,2021-04-07,2021-04-08,2021-04-08,2021-04-08,2021-05-13,1,0,1,1,0,0,35,38,33136,3 days 00:00:00.000000000,3,28,33136,95,4,5,0,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-01,2021-04-01,2021-04-01,2021-04-02,2021-04-05,2021-04-06,2021-04-08,2021-04-15,2021-04-15,0,1,3,1,2,7,0,14,33131,14 days 00:00:00.000000000,14,62,33131,91,4,1,3,2021
Certificate Of Use,Alcohol Beverage Service Establishment,Miami,FL,33137,2021-04-02,2021-04-02,2021-04-05,2021-04-05,2021-04-19,2021-04-28,2021-05-07,2021-05-07,2021-05-08,3,0,14,9,9,0,1,36,33137,35 days 00:00:00.000000000,35,113,33137,92,4,2,4,2021
Certificate Of Use,General Commercial,Miami,FL,33130,2021-04-06,2021-04-06,2021-04-07,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-05-27,2021-05-27,1,0,1,1,3,45,0,51,33130,51 days 00:00:00.000000000,51,62,33130,96,4,6,1,2021
Certificate Of Use,General Commercial,Miami,FL,33130,2021-04-06,2021-04-06,2021-04-06,2021-04-06,2021-04-08,2021-04-13,2021-04-28,2021-05-07,2021-05-07,0,0,2,5,15,9,0,31,33130,31 days 00:00:00.000000000,31,62,33130,96,4,6,1,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-07,2021-04-07,2021-05-19,2021-05-19,2021-05-21,2021-05-27,2021-06-02,2021-06-09,2021-06-09,42,0,2,6,6,7,0,63,33131,63 days 00:00:00.000000000,63,62,33131,97,4,7,2,2021
Certificate Of Use,Home Office,Miami,FL,33131,2021-04-09,2021-04-09,2021-04-09,2021-04-09,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,0,0,4,1,1,1,1,8,33131,7 days 00:00:00.000000000,7,62,33131,99,4,9,4,2021
Certificate Of Use,Hotel,Miami,FL,33131,2021-04-08,2021-04-08,2021-04-27,2021-04-27,2021-04-28,2021-05-06,2021-05-20,2021-05-20,2021-05-20,19,0,1,8,14,0,0,42,33131,42 days 00:00:00.000000000,42,156,33131,98,4,8,3,2021
Certificate Of Use,Office,Miami,FL,33127,2021-04-11,2021-04-11,2021-04-12,2021-04-12,2021-05-11,2021-05-24,2021-06-03,2021-06-03,2021-06-03,1,0,29,13,10,0,0,53,33127,53 days 00:00:00.000000000,53,62,33127,101,4,11,6,2021
Accessory Of Use,Home Office,Miami,FL,33125,2021-04-13,2021-04-13,2021-04-13,2021-04-13,2021-04-15,2021-05-03,2021-05-03,2021-05-07,2021-05-13,0,0,2,18,0,4,6,30,33125,24 days 00:00:00.000000000,24,28,33125,103,4,13,1,2021
Certificate Of Use,Multi Family Housing,Miami,FL,33136,2021-04-12,2021-04-12,2021-04-21,2021-04-21,2021-04-23,2021-04-25,2021-04-26,2021-05-26,2021-05-27,9,0,2,2,1,30,1,45,33136,44 days 00:00:00.000000000,44,156,33136,102,4,12,0,2021
Certificate Of Use,General Commercial,Miami,FL,33150,2021-04-12,2021-04-12,2021-04-13,2021-04-13,2021-04-15,2021-04-19,2021-04-22,2021-06-03,2021-06-03,1,0,2,4,3,42,0,52,33150,52 days 00:00:00.000000000,52,62,33150,102,4,12,0,2021
Certificate Of Use,Office,Miami,FL,33132,2021-04-12,2021-04-12,2021-04-13,2021-04-13,2021-04-14,2021-04-15,2021-04-19,2021-04-19,2021-04-20,1,0,1,1,4,0,1,8,33132,7 days 00:00:00.000000000,7,62,33132,102,4,12,0,2021
Certificate Of Use,Learning Center,Miami,FL,33133,2021-04-08,2021-04-08,2021-04-28,2021-04-28,2021-04-29,2021-05-04,2021-05-13,2021-05-13,2021-05-13,20,0,1,5,9,0,0,35,33133,35 days 00:00:00.000000000,35,62,33133,98,4,8,3,2021
Accessory Of Use,Home Office,Miami,FL,33127,2021-04-08,2021-04-08,2021-04-21,2021-04-21,2021-04-23,2021-04-26,2021-04-26,2021-05-10,2021-05-13,13,0,2,3,0,14,3,35,33127,32 days 00:00:00.000000000,32,28,33127,98,4,8,3,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-07,2021-04-07,2021-04-08,2021-04-08,2021-04-15,2021-04-20,2021-05-07,2021-05-20,2021-05-20,1,0,7,5,17,13,0,43,33131,43 days 00:00:00.000000000,43,62,33131,97,4,7,2,2021
Certificate Of Use,Multi Family Housing,Miami,FL,33142,2021-04-08,2021-04-08,2021-04-09,2021-04-09,2021-04-14,2021-04-20,2021-04-22,2021-05-28,2021-05-28,1,0,5,6,2,36,0,50,33142,50 days 00:00:00.000000000,50,156,33142,98,4,8,3,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-13,2021-04-13,2021-04-14,2021-04-14,2021-04-15,2021-04-29,2021-05-06,2021-05-21,2021-05-21,1,0,1,14,7,15,0,38,33131,38 days 00:00:00.000000000,38,62,33131,103,4,13,1,2021
Certificate Of Use,Office,Miami,FL,33137,2021-04-13,2021-04-13,2021-05-11,2021-05-11,2021-05-13,2021-05-17,2021-05-25,2021-06-11,2021-06-11,28,0,2,4,8,17,0,59,33137,59 days 00:00:00.000000000,59,62,33137,103,4,13,1,2021
Certificate Of Use,Single Family Residence,Miami,FL,33127,2021-04-13,2021-04-13,2021-05-04,2021-05-04,2021-05-05,2021-05-05,2021-05-06,2021-05-06,2021-05-07,21,0,1,0,1,0,1,24,33127,23 days 00:00:00.000000000,23,62,33127,103,4,13,1,2021
Certificate Of Use,Unknown,Miami,FL,33145,2021-04-13,2021-04-13,2021-04-14,2021-04-14,2021-04-16,2021-04-20,2021-04-21,2021-04-22,2021-04-23,1,0,2,4,1,1,1,10,33145,9 days 00:00:00.000000000,9,413,33145,103,4,13,1,2021
Certificate Of Use,Office,Miami,FL,33137,2021-04-14,2021-04-14,2021-04-26,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,12,0,1,1,1,1,1,17,33137,16 days 00:00:00.000000000,16,62,33137,104,4,14,2,2021
Certificate Of Use,General Commercial,Miami,FL,33133,2021-04-15,2021-04-15,2021-04-16,2021-04-16,2021-04-22,2021-04-27,2021-04-27,2021-04-27,2021-04-27,1,0,6,5,0,0,0,12,33133,12 days 00:00:00.000000000,12,62,33133,105,4,15,3,2021
Certificate Of Use,Office,Miami,FL,33137,2021-04-13,2021-04-13,2021-05-11,2021-05-11,2021-05-13,2021-05-17,2021-05-25,2021-06-11,2021-06-11,28,0,2,4,8,17,0,59,33137,59 days 00:00:00.000000000,59,62,33137,103,4,13,1,2021
Certificate Of Use,Auto-Related Commercial Establishment,Miami,FL,33150,2021-04-26,2021-04-26,2021-04-27,2021-04-27,2021-04-28,2021-05-17,2021-06-07,2021-06-07,2021-06-07,1,0,1,19,21,0,0,42,33150,42 days 00:00:00.000000000,42,62,33150,116,4,26,0,2021
Accessory Of Use,Home Office,Miami,FL,33129,2021-04-26,2021-04-26,2021-04-27,2021-04-27,2021-04-29,2021-05-19,2021-05-19,2021-05-20,2021-05-20,1,0,2,20,0,1,0,24,33129,24 days 00:00:00.000000000,24,28,33129,116,4,26,0,2021
Certificate Of Use,Office,Miami,FL,33133,2021-04-26,2021-04-26,2021-05-03,2021-05-03,2021-05-05,2021-05-05,2021-05-06,2021-05-19,2021-05-20,7,0,2,0,1,13,1,24,33133,23 days 00:00:00.000000000,23,62,33133,116,4,26,0,2021
Certificate Of Use,Alcohol Beverage Service Establishment,Miami,FL,33135,2021-04-27,2021-04-27,2021-05-04,2021-05-04,2021-05-05,2021-05-06,2021-05-11,2021-07-06,,7,0,1,1,5,56,,,33135,70 days 00:00:00.000000000,70,113,33135,117,4,27,1,2021
Certificate Of Use,General Commercial,Miami,FL,33127,2021-04-28,2021-04-28,2021-05-05,2021-05-05,2021-05-07,2021-06-23,2021-06-23,2021-06-25,2021-06-25,7,0,2,47,0,2,0,58,33127,58 days 00:00:00.000000000,58,62,33127,118,4,28,2,2021
